id,coordinates,normalized_coordinates,connections,edge_distances
0,"[13.388646588214442, 52.50478512845843]","[477, 386]","['22', '21']","{'22': 328, '21': 357}"
1,"[13.393943256026303, 52.50463439389844]","[837, 386]",['2'],{'2': 360}
2,"[13.394191755440868, 52.507865555782175]","[837, 746]","['1', '4', '27']","{'1': 360, '4': 156, '27': 248}"
3,"[13.399239890410328, 52.50448342411059]","[1197, 386]","['6', '4']","{'6': 156, '4': 460}"
4,"[13.396417986284051, 52.50824289053375]","[986, 795]","['2', '5', '3']","{'2': 156, '5': 360, '3': 460}"
5,"[13.396666696293744, 52.51147404503619]","[986, 1155]",['4'],{'4': 360}
6,"[13.40146599399943, 52.50486066527485]","[1346, 435]","['3', '7']","{'3': 156, '7': 360}"
7,"[13.401715045787764, 52.50809180899642]","[1346, 795]","['6', '8']","{'6': 360, '8': 360}"
8,"[13.401964142250787, 52.51132295082861]","[1346, 1155]","['7', '9']","{'7': 360, '9': 360}"
9,"[13.402213283400105, 52.51455409077386]","[1346, 1515]","['8', '17']","{'8': 360, '17': 457}"
10,"[13.406762633616605, 52.50470936117823]","[1706, 435]","['11', '15']","{'11': 360, '15': 360}"
11,"[13.407012071780152, 52.50794049221227]","[1706, 795]","['10', '31']","{'10': 360, '31': 153}"
12,"[13.407261554687356, 52.5111716213546]","[1706, 1155]","['31', '13']","{'31': 228, '13': 360}"
13,"[13.407511082349844, 52.514402748607665]","[1706, 1515]","['12', '14', '19']","{'12': 360, '14': 360, '19': 240}"
14,"[13.407760654779246, 52.51763387397387]","[1706, 1875]","['13', '17']","{'13': 360, '17': 318}"
15,"[13.412059239679898, 52.504557821856835]","[2066, 435]","['16', '10']","{'16': 360, '10': 360}"
16,"[13.4123090642095, 52.50778894018373]","[2066, 795]",['15'],{'15': 360}
17,"[13.403352289419768, 52.518601734065705]","[1402, 1968]","['9', '18', '14']","{'9': 457, '18': 413, '14': 318}"
18,"[13.3972644452348, 52.518650344948426]","[989, 1955]",['17'],{'17': 413}
19,"[13.411053515196622, 52.51431941054168]","[1947, 1517]","['20', '13']","{'20': 360, '13': 240}"
20,"[13.411303346262521, 52.5175505274014]","[1947, 1877]",['19'],{'19': 360}
21,"[13.384168078197748, 52.503099713544046]","[182, 184]",['0'],{'0': 357}
22,"[13.388252366884364, 52.50772704790827]","[435, 712]","['0', '23', '27']","{'0': 328, '23': 234, '27': 246}"
23,"[13.385827209173954, 52.50922787512234]","[263, 871]","['22', '24']","{'22': 234, '24': 360}"
24,"[13.386075152071193, 52.51245905462581]","[263, 1231]","['30', '23']","{'30': 160, '23': 360}"
25,"[13.386323139449546, 52.51569023224987]","[263, 1591]","['30', '26']","{'30': 259, '26': 360}"
26,"[13.386571171320574, 52.518921407996984]","[263, 1951]",['25'],{'25': 360}
27,"[13.391124417436018, 52.50907726359099]","[623, 871]","['22', '28', '2']","{'22': 246, '28': 360, '2': 248}"
28,"[13.391372746819485, 52.51230843046316]","[623, 1231]","['27', '29']","{'27': 360, '29': 360}"
29,"[13.391621120753074, 52.515539595453596]","[623, 1591]",['28'],{'28': 360}
30,"[13.384628140188395, 52.513604223008386]","[159, 1354]","['24', '25']","{'24': 160, '25': 259}"
31,"[13.406174433396789, 52.509224696298766]","[1642, 935]","['11', '12']","{'11': 153, '12': 228}"
